Date,`Total Confirmed Cases`,Cured,Deaths
12-03-2020,6,0,0
12-03-2020,14,0,0
12-03-2020,17,3,0
12-03-2020,3,0,0
12-03-2020,1,0,0
12-03-2020,11,0,0
12-03-2020,3,0,0
12-03-2020,1,0,0
12-03-2020,1,0,0
12-03-2020,1,0,0
12-03-2020,4,0,0
12-03-2020,11,0,0
12-03-2020,1,0,0
13-03-2020,6,0,0
13-03-2020,14,0,0
13-03-2020,19,3,0
13-03-2020,3,0,0
13-03-2020,1,0,0
13-03-2020,11,0,0
13-03-2020,3,0,0
13-03-2020,1,0,0
13-03-2020,1,0,0
13-03-2020,1,0,0
13-03-2020,6,0,1
13-03-2020,14,0,0
13-03-2020,1,0,0
14-03-2020,7,1,1
14-03-2020,14,0,0
14-03-2020,19,3,0
14-03-2020,3,1,0
14-03-2020,1,0,0
14-03-2020,12,5,0
14-03-2020,3,0,0
14-03-2020,1,0,0
14-03-2020,2,0,0
14-03-2020,1,0,0
14-03-2020,6,0,1
14-03-2020,14,0,0
14-03-2020,1,0,0
15-03-2020,1,0,0
15-03-2020,7,2,1
15-03-2020,14,0,0
15-03-2020,6,0,1
15-03-2020,22,3,0
15-03-2020,32,0,0
15-03-2020,1,0,0
15-03-2020,4,3,0
15-03-2020,1,0,0
15-03-2020,3,1,0
15-03-2020,2,0,0
15-03-2020,3,0,0
15-03-2020,13,4,0
15-03-2020,1,0,0
16-03-2020,1,0,0
16-03-2020,7,2,1
16-03-2020,14,0,0
16-03-2020,6,0,1
16-03-2020,23,3,0
16-03-2020,32,0,0
16-03-2020,1,0,0
16-03-2020,1,0,0
16-03-2020,4,3,0
16-03-2020,1,0,0
16-03-2020,3,1,0
16-03-2020,3,0,0
16-03-2020,4,0,0
16-03-2020,13,4,0
16-03-2020,1,0,0
17-03-2020,1,0,0
17-03-2020,8,2,1
17-03-2020,15,0,0
17-03-2020,11,0,1
17-03-2020,26,3,0
17-03-2020,39,0,1
17-03-2020,1,0,0
17-03-2020,1,0,0
17-03-2020,4,3,0
17-03-2020,1,0,0
17-03-2020,5,1,0
17-03-2020,3,0,0
17-03-2020,6,0,0
17-03-2020,15,5,0
17-03-2020,1,0,0
18-03-2020,1,0,0
18-03-2020,10,2,1
18-03-2020,17,0,0
18-03-2020,11,0,1
18-03-2020,27,3,0
18-03-2020,42,0,1
18-03-2020,1,0,0
18-03-2020,1,0,0
18-03-2020,1,0,0
18-03-2020,4,3,0
18-03-2020,1,0,0
18-03-2020,6,1,0
18-03-2020,3,0,0
18-03-2020,8,0,0
18-03-2020,16,5,0
18-03-2020,1,0,0
18-03-2020,1,0,0
19-03-2020,2,0,0
19-03-2020,1,0,0
19-03-2020,12,3,1
19-03-2020,17,0,0
19-03-2020,14,0,1
19-03-2020,27,3,0
19-03-2020,47,0,1
19-03-2020,1,0,0
19-03-2020,1,0,0
19-03-2020,2,0,1
19-03-2020,7,3,0
19-03-2020,2,1,0
19-03-2020,6,1,0
19-03-2020,1,0,0
19-03-2020,4,0,0
19-03-2020,8,0,0
19-03-2020,19,9,0
19-03-2020,1,0,0
19-03-2020,1,0,0
20-03-2020,3,0,0
20-03-2020,1,0,0
20-03-2020,17,5,1
20-03-2020,5,0,0
20-03-2020,17,0,0
20-03-2020,15,1,1
20-03-2020,28,3,0
20-03-2020,52,0,1
20-03-2020,2,0,0
20-03-2020,1,0,0
20-03-2020,2,0,1
20-03-2020,17,3,0
20-03-2020,3,1,0
20-03-2020,17,1,0
20-03-2020,1,0,0
20-03-2020,4,0,0
20-03-2020,10,0,0
20-03-2020,23,9,0
20-03-2020,3,0,0
20-03-2020,2,0,0
21-03-2020,3,0,0
21-03-2020,1,0,0
21-03-2020,26,5,1
21-03-2020,7,0,0
21-03-2020,17,0,0
21-03-2020,2,0,0
21-03-2020,15,1,1
21-03-2020,40,3,0
21-03-2020,4,0,0
21-03-2020,63,0,1
21-03-2020,2,0,0
21-03-2020,1,0,0
21-03-2020,13,0,1
21-03-2020,17,3,0
21-03-2020,3,1,0
21-03-2020,21,1,0
21-03-2020,1,0,0
21-03-2020,4,0,0
21-03-2020,13,0,0
21-03-2020,24,9,0
21-03-2020,3,0,0
21-03-2020,3,0,0
22-03-2020,5,0,0
22-03-2020,2,0,1
22-03-2020,1,0,0
22-03-2020,29,5,1
22-03-2020,18,0,1
22-03-2020,21,0,0
22-03-2020,2,0,0
22-03-2020,26,2,1
22-03-2020,52,3,0
22-03-2020,4,0,0
22-03-2020,67,0,2
22-03-2020,2,0,0
22-03-2020,1,0,0
22-03-2020,21,0,1
22-03-2020,24,3,0
22-03-2020,7,1,0
22-03-2020,22,1,0
22-03-2020,5,0,0
22-03-2020,4,0,0
22-03-2020,13,0,0
22-03-2020,27,9,0
22-03-2020,3,0,0
22-03-2020,4,0,0
23-03-2020,7,0,0
23-03-2020,2,0,1
23-03-2020,1,0,0
23-03-2020,29,5,1
23-03-2020,29,0,1
23-03-2020,26,0,0
23-03-2020,2,0,0
23-03-2020,33,2,1
23-03-2020,67,3,0
23-03-2020,6,0,0
23-03-2020,74,0,2
23-03-2020,2,0,0
23-03-2020,1,0,0
23-03-2020,21,0,1
23-03-2020,28,3,0
23-03-2020,9,1,0
23-03-2020,32,1,0
23-03-2020,6,0,0
23-03-2020,4,0,0
23-03-2020,13,0,0
23-03-2020,31,9,0
23-03-2020,3,0,0
23-03-2020,7,0,0
24-03-2020,8,0,0
24-03-2020,3,0,1
24-03-2020,1,0,0
24-03-2020,30,6,1
24-03-2020,33,0,1
24-03-2020,28,11,0
24-03-2020,3,0,1
24-03-2020,37,3,1
24-03-2020,95,4,0
24-03-2020,7,0,0
24-03-2020,89,0,2
24-03-2020,1,0,0
24-03-2020,2,0,0
24-03-2020,1,0,0
24-03-2020,29,0,1
24-03-2020,32,3,0
24-03-2020,15,1,0
24-03-2020,35,1,0
24-03-2020,7,0,0
24-03-2020,4,0,0
24-03-2020,13,0,0
24-03-2020,33,11,0
24-03-2020,4,0,0
24-03-2020,9,0,1
25-03-2020,9,1,0
25-03-2020,4,0,1
25-03-2020,1,0,0
25-03-2020,31,6,1
25-03-2020,38,0,1
25-03-2020,28,11,0
25-03-2020,3,0,1
25-03-2020,41,3,1
25-03-2020,109,4,0
25-03-2020,14,0,0
25-03-2020,128,1,3
25-03-2020,1,0,0
25-03-2020,1,0,0
25-03-2020,2,0,0
25-03-2020,1,0,0
25-03-2020,29,0,1
25-03-2020,36,3,0
25-03-2020,18,1,0
25-03-2020,35,1,0
25-03-2020,7,0,0
25-03-2020,7,1,0
25-03-2020,13,0,0
25-03-2020,37,11,0
25-03-2020,4,0,0
25-03-2020,9,0,1
26-03-2020,1,0,0
26-03-2020,11,1,0
26-03-2020,6,0,1
26-03-2020,7,0,0
26-03-2020,6,0,0
26-03-2020,36,6,1
26-03-2020,3,0,0
26-03-2020,43,0,3
26-03-2020,30,11,0
26-03-2020,3,0,1
26-03-2020,13,1,0
26-03-2020,55,3,2
26-03-2020,118,6,0
26-03-2020,13,0,0
26-03-2020,20,0,1
26-03-2020,124,1,3
26-03-2020,1,0,0
26-03-2020,1,0,0
26-03-2020,2,0,0
26-03-2020,1,0,0
26-03-2020,33,0,1
26-03-2020,41,3,0
26-03-2020,26,1,1
26-03-2020,44,1,0
26-03-2020,5,0,0
26-03-2020,41,11,0
26-03-2020,10,0,1
27-03-2020,1,0,0
27-03-2020,12,1,0
27-03-2020,6,0,1
27-03-2020,7,0,0
27-03-2020,6,0,0
27-03-2020,36,6,1
27-03-2020,3,0,0
27-03-2020,43,0,3
27-03-2020,30,11,0
27-03-2020,3,0,1
27-03-2020,13,1,1
27-03-2020,55,3,2
27-03-2020,137,11,0
27-03-2020,13,3,0
27-03-2020,20,0,1
27-03-2020,130,15,4
27-03-2020,1,0,0
27-03-2020,1,0,0
27-03-2020,2,0,0
27-03-2020,1,0,0
27-03-2020,33,0,1
27-03-2020,41,3,0
27-03-2020,29,1,1
27-03-2020,45,1,0
27-03-2020,5,0,0
27-03-2020,41,11,0
27-03-2020,10,0,1
28-03-2020,14,1,0
28-03-2020,6,0,0
28-03-2020,9,0,1
28-03-2020,8,0,0
28-03-2020,6,0,0
28-03-2020,39,6,1
28-03-2020,3,0,0
28-03-2020,45,0,3
28-03-2020,33,12,0
28-03-2020,3,0,1
28-03-2020,20,1,1
28-03-2020,55,3,2
28-03-2020,176,11,0
28-03-2020,13,3,0
28-03-2020,30,0,2
28-03-2020,180,25,5
28-03-2020,1,0,0
28-03-2020,1,0,0
28-03-2020,3,0,0
28-03-2020,1,0,0
28-03-2020,38,1,1
28-03-2020,54,3,0
28-03-2020,40,2,1
28-03-2020,56,1,0
28-03-2020,5,0,0
28-03-2020,55,11,0
28-03-2020,15,0,1
29-03-2020,19,1,0
29-03-2020,9,0,0
29-03-2020,11,0,1
29-03-2020,8,0,0
29-03-2020,7,0,0
29-03-2020,49,6,2
29-03-2020,5,0,0
29-03-2020,58,1,5
29-03-2020,33,17,0
29-03-2020,3,0,1
29-03-2020,31,1,2
29-03-2020,76,5,3
29-03-2020,182,15,1
29-03-2020,13,3,0
29-03-2020,30,0,2
29-03-2020,186,25,6
29-03-2020,1,0,0
29-03-2020,1,0,0
29-03-2020,3,0,0
29-03-2020,1,0,0
29-03-2020,38,1,1
29-03-2020,55,3,0
29-03-2020,49,4,1
29-03-2020,66,1,1
29-03-2020,7,2,0
29-03-2020,65,11,0
29-03-2020,18,0,1
30-03-2020,23,1,0
30-03-2020,9,0,0
30-03-2020,15,0,1
30-03-2020,8,0,0
30-03-2020,7,0,0
30-03-2020,87,6,2
30-03-2020,5,0,0
30-03-2020,69,1,6
30-03-2020,36,18,0
30-03-2020,3,0,1
30-03-2020,48,2,2
30-03-2020,83,5,3
30-03-2020,202,19,1
30-03-2020,13,3,0
30-03-2020,47,0,3
30-03-2020,198,25,8
30-03-2020,1,0,0
30-03-2020,1,0,0
30-03-2020,3,0,0
30-03-2020,1,0,0
30-03-2020,38,1,1
30-03-2020,59,3,0
30-03-2020,67,4,1
30-03-2020,71,1,1
30-03-2020,7,2,0
30-03-2020,82,11,0
30-03-2020,22,0,1
30-03-2020,46,0,0
31-03-2020,40,1,0
31-03-2020,10,0,0
31-03-2020,15,0,1
31-03-2020,13,0,0
31-03-2020,8,0,0
31-03-2020,97,6,2
31-03-2020,5,0,0
31-03-2020,73,3,6
31-03-2020,40,21,0
31-03-2020,3,0,1
31-03-2020,54,2,2
31-03-2020,83,5,3
31-03-2020,234,19,1
31-03-2020,13,3,0
31-03-2020,47,0,3
31-03-2020,216,39,9
31-03-2020,1,0,0
31-03-2020,1,0,0
31-03-2020,3,0,0
31-03-2020,1,0,0
31-03-2020,41,1,3
31-03-2020,74,3,0
31-03-2020,74,4,1
31-03-2020,79,1,1
31-03-2020,7,2,0
31-03-2020,101,14,0
31-03-2020,26,0,2
31-03-2020,38,0,0
01-04-2020,83,1,0
01-04-2020,10,0,0
01-04-2020,1,0,0
01-04-2020,23,0,1
01-04-2020,16,0,0
01-04-2020,9,2,0
01-04-2020,152,6,2
01-04-2020,5,0,0
01-04-2020,82,5,6
01-04-2020,43,21,0
01-04-2020,3,0,1
01-04-2020,62,2,2
01-04-2020,1,0,0
01-04-2020,101,8,3
01-04-2020,241,23,2
01-04-2020,13,3,0
01-04-2020,66,0,3
01-04-2020,302,39,9
01-04-2020,1,0,0
01-04-2020,1,0,0
01-04-2020,4,0,0
01-04-2020,3,1,0
01-04-2020,42,1,3
01-04-2020,93,3,0
01-04-2020,234,6,1
01-04-2020,96,1,3
01-04-2020,7,2,0
01-04-2020,103,14,2
01-04-2020,37,6,3
02-04-2020,86,1,1
02-04-2020,10,0,0
02-04-2020,5,0,0
02-04-2020,24,0,1
02-04-2020,16,0,0
02-04-2020,9,2,0
02-04-2020,219,8,4
02-04-2020,5,0,0
02-04-2020,87,8,7
02-04-2020,43,21,0
02-04-2020,3,1,1
02-04-2020,62,2,2
02-04-2020,1,0,0
02-04-2020,110,9,3
02-04-2020,265,25,2
02-04-2020,13,3,0
02-04-2020,99,0,6
02-04-2020,335,42,13
02-04-2020,1,0,0
02-04-2020,1,0,0
02-04-2020,4,0,0
02-04-2020,3,1,0
02-04-2020,46,1,4
02-04-2020,108,3,0
02-04-2020,234,6,1
02-04-2020,107,1,3
02-04-2020,7,2,0
02-04-2020,113,14,2
02-04-2020,53,6,3
03-04-2020,132,1,1
03-04-2020,10,0,0
03-04-2020,1,0,0
03-04-2020,16,0,0
03-04-2020,29,0,1
03-04-2020,18,0,0
03-04-2020,9,3,0
03-04-2020,219,8,4
03-04-2020,6,0,0
03-04-2020,95,10,8
03-04-2020,49,24,0
03-04-2020,6,1,1
03-04-2020,75,3,2
03-04-2020,2,0,0
03-04-2020,124,10,3
03-04-2020,286,27,2
03-04-2020,14,3,0
03-04-2020,104,0,6
03-04-2020,335,42,16
03-04-2020,2,0,0
03-04-2020,1,0,0
03-04-2020,5,0,0
03-04-2020,5,1,0
03-04-2020,48,1,5
03-04-2020,167,3,0
03-04-2020,309,6,1
03-04-2020,158,1,7
03-04-2020,10,2,0
03-04-2020,172,14,2
03-04-2020,63,3,3
03-04-2020,77,0,0
04-04-2020,161,1,1
04-04-2020,10,0,0
04-04-2020,1,0,0
04-04-2020,24,0,0
04-04-2020,30,0,1
04-04-2020,18,0,0
04-04-2020,9,3,0
04-04-2020,445,15,6
04-04-2020,7,0,0
04-04-2020,105,14,10
04-04-2020,49,24,0
04-04-2020,6,1,1
04-04-2020,75,3,2
04-04-2020,2,0,0
04-04-2020,128,12,3
04-04-2020,295,41,2
04-04-2020,14,3,0
04-04-2020,104,0,6
04-04-2020,490,42,24
04-04-2020,2,0,0
04-04-2020,1,0,0
04-04-2020,5,0,0
04-04-2020,5,1,0
04-04-2020,57,1,5
04-04-2020,200,21,0
04-04-2020,411,6,2
04-04-2020,159,1,7
04-04-2020,16,2,0
04-04-2020,174,19,2
04-04-2020,69,3,3
05-04-2020,190,1,1
05-04-2020,10,0,0
05-04-2020,1,0,0
05-04-2020,26,0,0
05-04-2020,30,0,1
05-04-2020,18,0,0
05-04-2020,9,3,0
05-04-2020,503,18,7
05-04-2020,7,0,0
05-04-2020,122,18,11
05-04-2020,59,25,1
05-04-2020,6,1,1
05-04-2020,106,4,2
05-04-2020,3,0,0
05-04-2020,144,12,4
05-04-2020,306,49,2
05-04-2020,14,10,0
05-04-2020,165,0,9
05-04-2020,490,42,24
05-04-2020,2,0,0
05-04-2020,1,0,0
05-04-2020,20,0,0
05-04-2020,5,1,0
05-04-2020,57,1,5
05-04-2020,200,21,0
05-04-2020,485,6,3
05-04-2020,269,32,7
05-04-2020,22,2,0
05-04-2020,227,19,2
05-04-2020,80,10,3
06-04-2020,226,1,3
06-04-2020,10,0,0
06-04-2020,1,0,0
06-04-2020,26,0,0
06-04-2020,32,0,1
06-04-2020,18,0,0
06-04-2020,10,8,0
06-04-2020,523,19,7
06-04-2020,7,0,0
06-04-2020,144,22,12
06-04-2020,84,25,1
06-04-2020,13,2,1
06-04-2020,109,4,2
06-04-2020,4,0,0
06-04-2020,151,12,4
06-04-2020,314,55,2
06-04-2020,14,10,0
06-04-2020,165,0,9
06-04-2020,748,56,45
06-04-2020,2,0,0
06-04-2020,1,0,0
06-04-2020,21,2,0
06-04-2020,5,1,0
06-04-2020,76,4,6
06-04-2020,274,21,0
06-04-2020,571,8,5
06-04-2020,321,34,7
06-04-2020,26,4,0
06-04-2020,305,21,3
06-04-2020,80,10,3
07-04-2020,266,1,3
07-04-2020,10,0,0
07-04-2020,1,0,0
07-04-2020,26,0,0
07-04-2020,32,0,1
07-04-2020,18,7,0
07-04-2020,10,9,0
07-04-2020,576,21,7
07-04-2020,7,0,0
07-04-2020,165,25,13
07-04-2020,90,25,1
07-04-2020,13,2,1
07-04-2020,116,4,2
07-04-2020,4,0,0
07-04-2020,175,25,4
07-04-2020,327,58,2
07-04-2020,14,10,0
07-04-2020,229,0,13
07-04-2020,868,56,48
07-04-2020,2,0,0
07-04-2020,1,0,0
07-04-2020,42,2,1
07-04-2020,5,1,0
07-04-2020,91,4,7
07-04-2020,288,21,3
07-04-2020,621,8,5
07-04-2020,364,35,7
07-04-2020,1,0,0
07-04-2020,31,5,0
07-04-2020,305,21,3
07-04-2020,91,13,3
08-04-2020,305,5,4
08-04-2020,10,0,0
08-04-2020,1,0,0
08-04-2020,27,0,0
08-04-2020,38,0,1
08-04-2020,18,7,0
08-04-2020,10,9,0
08-04-2020,576,21,9
08-04-2020,7,0,0
08-04-2020,165,25,13
08-04-2020,147,28,3
08-04-2020,18,2,1
08-04-2020,116,4,2
08-04-2020,4,0,0
08-04-2020,175,25,4
08-04-2020,336,70,2
08-04-2020,14,10,0
08-04-2020,229,0,13
08-04-2020,1018,79,64
08-04-2020,2,0,0
08-04-2020,1,0,0
08-04-2020,42,2,1
08-04-2020,5,1,0
08-04-2020,91,4,7
08-04-2020,328,21,3
08-04-2020,690,19,7
08-04-2020,427,35,7
08-04-2020,1,0,0
08-04-2020,31,5,0
08-04-2020,343,26,3
08-04-2020,99,13,5
09-04-2020,348,6,4
09-04-2020,11,0,0
09-04-2020,1,0,0
09-04-2020,28,0,0
09-04-2020,39,0,1
09-04-2020,18,7,0
09-04-2020,10,9,0
09-04-2020,669,21,9
09-04-2020,7,0,0
09-04-2020,179,25,16
09-04-2020,169,29,3
09-04-2020,18,2,1
09-04-2020,158,4,4
09-04-2020,13,0,0
09-04-2020,181,28,5
09-04-2020,345,83,2
09-04-2020,14,10,0
09-04-2020,259,0,16
09-04-2020,1135,117,72
09-04-2020,2,1,0
09-04-2020,1,0,0
09-04-2020,42,2,1
09-04-2020,5,1,0
09-04-2020,101,4,8
09-04-2020,383,21,3
09-04-2020,738,21,8
09-04-2020,442,35,7
09-04-2020,1,0,0
09-04-2020,35,5,0
09-04-2020,410,31,4
09-04-2020,103,16,5
10-04-2020,363,7,6
10-04-2020,11,0,0
10-04-2020,1,0,0
10-04-2020,29,0,0
10-04-2020,60,0,1
10-04-2020,18,7,0
10-04-2020,10,9,0
10-04-2020,898,25,13
10-04-2020,7,1,0
10-04-2020,241,26,17
10-04-2020,169,29,3
10-04-2020,28,6,1
10-04-2020,184,6,4
10-04-2020,13,0,1
10-04-2020,197,30,6
10-04-2020,357,96,2
10-04-2020,15,10,0
10-04-2020,259,0,16
10-04-2020,1364,125,97
10-04-2020,2,1,0
10-04-2020,1,0,0
10-04-2020,44,2,1
10-04-2020,5,1,0
10-04-2020,132,5,11
10-04-2020,463,21,3
10-04-2020,834,21,8
10-04-2020,473,35,7
10-04-2020,1,0,0
10-04-2020,35,5,0
10-04-2020,431,32,4
10-04-2020,116,16,5
11-04-2020,381,11,6
11-04-2020,11,0,0
11-04-2020,1,0,0
11-04-2020,29,0,1
11-04-2020,60,0,1
11-04-2020,18,7,0
11-04-2020,18,9,0
11-04-2020,903,25,14
11-04-2020,7,1,0
11-04-2020,308,31,19
11-04-2020,177,29,3
11-04-2020,28,6,1
11-04-2020,207,6,4
11-04-2020,17,0,1
11-04-2020,214,37,6
11-04-2020,364,123,2
11-04-2020,15,10,0
11-04-2020,443,0,33
11-04-2020,1574,188,110
11-04-2020,2,1,0
11-04-2020,1,0,0
11-04-2020,48,2,1
11-04-2020,7,1,0
11-04-2020,132,5,11
11-04-2020,553,21,3
11-04-2020,911,44,8
11-04-2020,504,43,9
11-04-2020,2,0,0
11-04-2020,35,5,0
11-04-2020,433,32,4
11-04-2020,126,16,5
12-04-2020,381,11,6
12-04-2020,11,10,0
12-04-2020,1,0,0
12-04-2020,29,0,1
12-04-2020,64,19,1
12-04-2020,19,7,0
12-04-2020,25,10,0
12-04-2020,1069,25,19
12-04-2020,7,5,0
12-04-2020,432,44,22
12-04-2020,185,29,3
12-04-2020,32,6,1
12-04-2020,224,6,4
12-04-2020,17,0,1
12-04-2020,226,37,6
12-04-2020,374,142,2
12-04-2020,15,10,0
12-04-2020,564,0,36
12-04-2020,1761,208,127
12-04-2020,2,1,0
12-04-2020,1,0,0
12-04-2020,54,12,1
12-04-2020,7,1,0
12-04-2020,151,5,11
12-04-2020,700,21,3
12-04-2020,969,44,10
12-04-2020,504,43,9
12-04-2020,2,0,0
12-04-2020,35,5,0
12-04-2020,452,45,5
12-04-2020,134,19,5
13-04-2020,432,11,7
13-04-2020,11,10,0
13-04-2020,1,0,0
13-04-2020,31,0,1
13-04-2020,64,26,1
13-04-2020,21,7,0
13-04-2020,31,10,0
13-04-2020,1154,27,24
13-04-2020,7,5,0
13-04-2020,539,47,26
13-04-2020,185,29,3
13-04-2020,32,13,1
13-04-2020,245,6,4
13-04-2020,19,0,2
13-04-2020,247,59,6
13-04-2020,376,179,3
13-04-2020,15,10,0
13-04-2020,604,44,43
13-04-2020,1985,217,149
13-04-2020,2,1,0
13-04-2020,1,0,0
13-04-2020,1,0,0
13-04-2020,54,12,1
13-04-2020,7,1,0
13-04-2020,167,14,11
13-04-2020,812,21,3
13-04-2020,1075,50,11
13-04-2020,562,100,16
13-04-2020,2,0,0
13-04-2020,35,5,0
13-04-2020,483,47,5
13-04-2020,152,29,7
14-04-2020,473,14,9
14-04-2020,11,10,0
14-04-2020,1,0,0
14-04-2020,31,0,1
14-04-2020,66,26,1
14-04-2020,21,7,0
14-04-2020,31,10,0
14-04-2020,1510,30,28
14-04-2020,7,5,0
14-04-2020,617,55,26
14-04-2020,199,34,3
14-04-2020,32,13,1
14-04-2020,270,16,4
14-04-2020,24,0,2
14-04-2020,258,65,9
14-04-2020,379,198,3
14-04-2020,15,10,0
14-04-2020,730,51,50
14-04-2020,2337,229,160
14-04-2020,2,1,0
14-04-2020,1,0,0
14-04-2020,1,0,0
14-04-2020,1,0,0
14-04-2020,55,18,1
14-04-2020,7,1,0
14-04-2020,176,14,12
14-04-2020,879,133,3
14-04-2020,1173,58,11
14-04-2020,624,100,17
14-04-2020,2,0,0
14-04-2020,35,7,0
14-04-2020,657,49,5
14-04-2020,190,36,7
15-04-2020,11,10,0
15-04-2020,503,16,9
15-04-2020,1,0,0
15-04-2020,33,0,1
15-04-2020,70,29,1
15-04-2020,21,7,0
15-04-2020,33,13,0
15-04-2020,1561,30,30
15-04-2020,7,5,0
15-04-2020,695,59,30
15-04-2020,199,34,3
15-04-2020,33,13,1
15-04-2020,278,30,4
15-04-2020,27,0,2
15-04-2020,277,75,11
15-04-2020,387,211,3
15-04-2020,17,10,0
15-04-2020,987,64,53
15-04-2020,2687,259,178
15-04-2020,2,1,0
15-04-2020,7,0,1
15-04-2020,1,0,0
15-04-2020,0,0,0
15-04-2020,60,18,1
15-04-2020,7,1,0
15-04-2020,186,14,13
15-04-2020,1005,147,3
15-04-2020,1204,81,12
15-04-2020,647,120,18
15-04-2020,2,0,0
15-04-2020,37,9,0
15-04-2020,735,51,11
15-04-2020,213,37,7
16-04-2020,11,10,0
16-04-2020,534,20,14
16-04-2020,1,0,0
16-04-2020,33,5,1
16-04-2020,74,29,1
16-04-2020,21,7,0
16-04-2020,33,17,0
16-04-2020,1578,42,32
16-04-2020,7,5,0
16-04-2020,871,64,36
16-04-2020,205,43,3
16-04-2020,35,16,1
16-04-2020,300,36,4
16-04-2020,28,0,2
16-04-2020,315,82,13
16-04-2020,388,218,3
16-04-2020,17,10,0
16-04-2020,1120,64,53
16-04-2020,2919,295,187
16-04-2020,2,1,0
16-04-2020,7,0,1
16-04-2020,1,0,0
16-04-2020,0,0,0
16-04-2020,60,18,1
16-04-2020,7,1,0
16-04-2020,186,27,13
16-04-2020,1023,147,3
16-04-2020,1242,118,14
16-04-2020,698,120,18
16-04-2020,2,1,0
16-04-2020,37,9,0
16-04-2020,773,68,13
16-04-2020,231,42,7
17-04-2020,11,10,0
17-04-2020,572,36,14
17-04-2020,1,0,0
17-04-2020,35,5,1
17-04-2020,83,37,1
17-04-2020,21,9,0
17-04-2020,36,23,0
17-04-2020,1640,51,38
17-04-2020,7,6,0
17-04-2020,1021,74,38
17-04-2020,205,43,3
17-04-2020,35,16,1
17-04-2020,314,38,4
17-04-2020,29,0,2
17-04-2020,353,82,13
17-04-2020,395,245,3
17-04-2020,18,14,0
17-04-2020,1308,65,57
17-04-2020,3205,300,194
17-04-2020,2,1,0
17-04-2020,9,0,1
17-04-2020,1,0,0
17-04-2020,0,0,0
17-04-2020,60,19,1
17-04-2020,7,1,0
17-04-2020,186,27,13
17-04-2020,1131,164,11
17-04-2020,1267,180,15
17-04-2020,743,186,18
17-04-2020,2,1,0
17-04-2020,37,9,0
17-04-2020,846,74,14
17-04-2020,255,51,10
18-04-2020,12,11,0
18-04-2020,603,42,15
18-04-2020,1,0,0
18-04-2020,35,9,1
18-04-2020,85,37,2
18-04-2020,21,9,0
18-04-2020,36,24,0
18-04-2020,1707,72,42
18-04-2020,7,6,0
18-04-2020,1272,88,48
18-04-2020,225,43,3
18-04-2020,38,16,1
